"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"26","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900751","EQUIPMENT BLANK Bear River Watershed Crew 1","River/Stream","Equipment Blank",16020204,NA,NA,NA,NA,40.77413009,-111.94788924,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"27","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900752","TRIP BLANK Bear River Watershed Crew 2","River/Stream","Trip Blank",16020204,NA,NA,NA,NA,40.774130087,-111.94788924,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"28","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900753","EQUIPMENT BLANK Bear River Watershed Crew 2","River/Stream","Equipment Blank",16020204,NA,NA,NA,NA,40.774130087,-111.94788924,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"29","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900754","EQUIPMENT BLANK-BEAR LAKE AND TRIBUTAIRES LAKE BLANK","Lake","Equipment Blank",16020204,NA,NA,NA,NA,40.77413,-111.94789,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"30","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900755","EQUIPMENT BLANK-BEAR LAKE AND TRIBUTAIRES RIVER/STREAM BLANK","River/Stream","Equipment Blank",16020204,NA,NA,NA,NA,40.77413,-111.94789,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"31","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4900970","FLYING J 001","Facility Other",NA,16010204,NA,NA,NA,NA,41.541601475,-112.062727302,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"32","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901050","BEAR R BL BOAT PUT IN","River/Stream","Blind Duplicate of 4901100",16010204,NA,NA,NA,NA,41.545818426,-112.096139392,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"33","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901100","BEAR R NEAR CORINNE AT U83 XING","River/Stream",NA,16010204,NA,NA,NA,NA,41.545818426,-112.096139392,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"34","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901150","BEAR R AB CORINNE LAGOONS","River/Stream",NA,16010204,NA,NA,NA,NA,41.542151452,-112.10939712,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"35","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901160","CORRINE LAGOONS","Facility Other",NA,16010204,NA,NA,NA,NA,41.536849453,-112.111859927,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"36","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901170","BLACKS SLOUGH AB CNFL/ BOX ELDER CK","River/Stream",NA,16010204,NA,NA,NA,NA,41.534181736,-112.059561023,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"37","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901175","Blacks Slough West of Interstate 15","River/Stream",NA,16010204,NA,NA,NA,NA,41.524518785,-112.065216397,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"38","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901180","BLACK SLOUGH BL BRIGHAM CY WWTP @ FOREST RD XING","River/Stream",NA,16010204,NA,NA,NA,NA,41.50966,-112.077446978,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"39","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901190","BOX ELDER CK AB BRIGHAM CITY WWTP","River/Stream",NA,16010204,NA,NA,NA,NA,41.522302,-112.041171,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"40","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901200","BRIGHAM CITY WWTP","Facility Other",NA,16010204,NA,NA,NA,NA,41.524152705,-112.046225211,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"41","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901210","BOX ELDER CK BL BRIGHAM CITY WWTP","River/Stream",NA,16010204,NA,NA,NA,NA,41.522160726,-112.044395338,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"42","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901215","Box Elder Ck AB 800N","River/Stream",NA,16010204,NA,NA,NA,NA,41.523178839,-112.05029655,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"43","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901220","Brigham City WWTP Discharge AB Confluenc Box Elder CK","Facility Other",NA,16010204,NA,NA,NA,NA,41.524670907,-112.053592775,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"44","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901225","Box Elder Ck BL Confluence Brigham City Discharge","River/Stream",NA,16010204,NA,NA,NA,NA,41.524665063,-112.056193574,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"45","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901250","BOX ELDER CK AB DIVERSION","River/Stream",NA,16010204,NA,NA,NA,NA,41.477711969,-111.945217979,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"46","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901370","BEAR R SOUTH BAY UNIT 2 OUTLET AT BRMBR SW OF ROCK ISLAND","Wetland Undifferentiated",NA,16010204,NA,NA,NA,NA,41.448152664,-112.332487323,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"47","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901380","BEAR R NORTH BAY UNIT 1 OUTLET AT BRMBR W OF MUSHBACK PT","Wetland Undifferentiated",NA,16020310,NA,NA,NA,NA,41.481901242,-112.342676827,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"48","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901390","BEAR R AT BRMBR NEAR SHOP","River/Stream",NA,16010204,NA,NA,NA,NA,41.480013764,-112.268534178,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"49","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901395","BEAR RIVER ON BIRD REFUGE ROAD EAST OF GOOSE ISLAND","River/Stream",NA,16010204,NA,NA,NA,NA,41.483632976,-112.146895876,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"50","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901400","REEDER CANAL AB BEAR R BIRD REFUGE","Canal Transport",NA,16010204,NA,NA,NA,NA,41.449661837,-112.104108563,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"51","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901410","REEDER OVERFLOW CANAL @ RD XING","Canal Transport",NA,16010204,NA,NA,NA,NA,41.514102787,-112.106617134,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"52","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901420","BEAR R BL SALT CREEK","River/Stream",NA,16010204,NA,NA,NA,NA,41.576487471,-112.098061285,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"53","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901430","SALT CREEK AB CNFL/ BEAR RIVER AT MCMURTRY PROP","River/Stream",NA,16010204,NA,NA,NA,NA,41.584653099,-112.089945863,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"54","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901431","SALT CK AT 4600 NORTH","River/Stream",NA,16010204,NA,NA,NA,NA,41.593351133,-112.086641,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"55","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901432","SALT CK AT 4600 NORTH 4901431 duplicate","River/Stream","Duplicate of 4901431",16010204,NA,NA,NA,NA,41.593351133,-112.086641,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"56","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901435","Chamberlain Investments 001 discharge to Salt Creek","Facility Other",NA,16010204,NA,NA,NA,NA,41.656458741,-112.089810639,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"57","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901440","BEAR RIVER BL CNFL/ MALAD R","River/Stream",NA,16010204,NA,NA,NA,NA,41.584096528,-112.105784086,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"58","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901450","BEAR R AB CNFL/ MALAD R","River/Stream",NA,16010204,NA,NA,NA,NA,41.591573394,-112.10755542,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"59","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901460","MALAD R AB CNFL/ BEAR R","River/Stream",NA,16010204,NA,NA,NA,NA,41.586041901,-112.118834037,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"60","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901500","Tremonton 001 Storm Drain off 6th N in Tremonton","Storm Sewer",NA,16010204,NA,NA,NA,NA,41.718837194,-112.158329647,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"61","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901510","Tremonton 002 Storm Drain off  Tremont St.","Storm Sewer",NA,16010204,NA,NA,NA,NA,41.700921815,-112.164630141,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"62","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901515","Tremonton 053 Storm Drain","Storm Sewer",NA,16010204,NA,NA,NA,NA,41.697384684,-112.16259542,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"63","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901520","Elwood 001 Storm Drain @ 10400 N & 5220 W Intersection","Storm Sewer",NA,16010204,NA,NA,NA,NA,41.697617668,-112.142962676,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"64","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901525","Elwood 007 Storm Drain 0.2 mi North of Elwood","Storm Sewer",NA,16010204,NA,NA,NA,NA,41.693198908,-112.142596032,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"65","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901530","Elwood 017 Storm Drain @ 5200 W 0.4 mi S of Elwood","Storm Sewer",NA,16010204,NA,NA,NA,NA,41.684822368,-112.142604004,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"66","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901540","Elwood 025 Storm Drain off 9600 N near exit I-15 exit 376","Storm Sewer",NA,16010204,NA,NA,NA,NA,41.677332165,-112.142243231,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"67","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-4901550","Elwood 030 Storm Drain @ 4400 W & N River Rd Intersection","Storm Sewer",NA,16010204,NA,NA,NA,NA,41.67657182,-112.122515133,NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
